Word,Length,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF
ALF,3,928,6.83,1.18,1.79
ALFA,4,849,6.74,0.31,1.23
alfresco,8,5,1.61,0.14,0.9
algebraical,11,2,0.69,NULL,NULL
algebras,8,156,5.05,NULL,NULL
ALGER,5,200,5.3,NULL,NULL
ALGINATES,9,3,1.1,NULL,NULL
ALGOL,5,380,5.94,NULL,NULL
algorithmic,11,637,6.46,0.2,1.04
algorithms,10,9114,9.12,0.24,1.11
ALIA,4,523,6.26,0.24,1.11
ALIAH,5,0,0,NULL,NULL
aliases,7,3283,8.1,0.84,1.64
alienating,10,372,5.92,0.51,1.43
alienist,8,15,2.71,0.16,0.95
alienists,9,3,1.1,NULL,NULL
ALIENUS,7,2,0.69,NULL,NULL
alighted,8,27,3.3,0.04,0.48
alighting,9,19,2.94,0.04,0.48
alights,7,12,2.48,NULL,NULL
aligns,6,137,4.92,0.1,0.78
allegros,8,2,0.69,NULL,NULL
alimentary,10,41,3.71,0.08,0.7
aliments,8,17,2.83,NULL,NULL
ALIQUOTS,8,23,3.14,NULL,NULL
ALISON,6,2575,7.85,7.41,2.58
alit,4,16,2.77,0.04,0.48
ALIX,4,133,4.89,NULL,NULL
ALIX'S,6,1,0,NULL,NULL
ALIZARIN,8,7,1.95,NULL,NULL
ALKALOIDS,9,263,5.57,0.06,0.6
ALKYLARYSULFONATE,17,0,0,NULL,NULL
ALKYLBENZENESULFONATES,22,0,0,NULL,NULL
ALLA,4,6199,8.73,NULL,NULL
allayed,7,25,3.22,0.08,0.7
allaying,8,17,2.83,0.06,0.6
allays,6,8,2.08,0.02,0.3
alleges,7,433,6.07,0.18,1
ALLEGHENIES,11,2,0.69,NULL,NULL
ALLEGHENY,9,385,5.95,0.18,1
allegorically,13,24,3.18,NULL,NULL
allegories,10,58,4.06,0.02,0.3
ALLEGRETTI,10,5,1.61,NULL,NULL
allegrettos,11,0,0,NULL,NULL
alleluias,9,2,0.69,NULL,NULL
ALLEMANDS,9,51,3.93,0.02,0.3
allergens,9,150,5.01,0.02,0.3
alleviated,10,278,5.63,0.04,0.48
alleviates,10,111,4.71,0.06,0.6
alligators,10,238,5.47,1.27,1.82
alliterated,11,0,0,NULL,NULL
alliterates,11,15,2.71,NULL,NULL
alliterating,12,1,0,NULL,NULL
alliteratively,14,1,0,NULL,NULL
allocates,9,658,6.49,0.04,0.48
allocating,10,1003,6.91,0.08,0.7
ALLONS,6,72,4.28,NULL,NULL
allopathical,12,0,0,NULL,NULL
allopathically,14,0,0,NULL,NULL
allots,6,65,4.17,0.02,0.3
allowably,9,1,0,NULL,NULL
alloyed,7,49,3.89,NULL,NULL
alloying,8,63,4.14,NULL,NULL
ALLSO,5,64,4.16,NULL,NULL
ALLSTATES,9,0,0,NULL,NULL
allured,7,15,2.71,0.02,0.3
allurements,11,5,1.61,0.02,0.3
allures,7,137,4.92,NULL,NULL
allusively,10,1,0,NULL,NULL
alluvia,7,0,0,NULL,NULL
alluvial,8,27,3.3,0.02,0.3
alluvium,8,7,1.95,NULL,NULL
alluviums,9,0,0,NULL,NULL
allying,7,67,4.2,0.08,0.7
ALMA,4,1376,7.23,5.76,2.47
ALMADEN,7,261,5.56,NULL,NULL
ALMAGEST,8,10,2.3,NULL,NULL
almanacs,8,258,5.55,0.02,0.3
almoner,7,1,0,NULL,NULL
almoners,8,0,0,NULL,NULL
ALOKUT,6,0,0,NULL,NULL
aloofly,7,1,0,NULL,NULL
alopecia,8,45,3.81,0.14,0.9
ALORS,5,939,6.84,NULL,NULL
alpaca,6,75,4.32,0.2,1.04
alpacas,7,15,2.71,0.02,0.3
alpenhorn,9,8,2.08,NULL,NULL
alpenhorns,10,1,0,NULL,NULL
alpenstock,10,3,1.1,NULL,NULL
alpenstocks,11,0,0,0.02,0.3
ALPERS,6,73,4.29,NULL,NULL
ALPERT,6,763,6.64,NULL,NULL
ALPERTS,7,6,1.79,NULL,NULL
alphabetically,14,904,6.81,0.59,1.49
alphabets,9,381,5.94,NULL,NULL
ALPHARETTA,10,183,5.21,NULL,NULL
alphas,6,1060,6.97,0.06,0.6
ALPHONSE,8,160,5.08,NULL,NULL
alpinism,8,3,1.1,NULL,NULL
alpinist,8,9,2.2,NULL,NULL
alpinists,9,10,2.3,NULL,NULL
ALREADEH,8,0,0,NULL,NULL
Alsace,6,140,4.94,NULL,NULL
Alsatian,8,34,3.53,0.16,0.95
Alsatians,9,17,2.83,NULL,NULL
ALSING,6,2,0.69,NULL,NULL
ALSOP,5,48,3.87,NULL,NULL
ALTAIRIANS,10,1,0,NULL,NULL
altarpieces,11,1,0,NULL,NULL
altars,6,198,5.29,0.12,0.85
ALTENBURG,9,36,3.58,NULL,NULL
alterable,9,17,2.83,NULL,NULL
altercated,10,0,0,NULL,NULL
altercates,10,0,0,NULL,NULL
altercating,11,0,0,NULL,NULL
altercations,12,39,3.66,NULL,NULL
alternates,10,536,6.28,0.18,1
alternations,12,44,3.78,NULL,NULL
alternators,11,120,4.79,0.04,0.48
ALTHAUS,7,100,4.61,NULL,NULL
ALTHEA,6,55,4.01,0.9,1.67
ALTHO,5,712,6.57,NULL,NULL
altimeter,9,281,5.64,0.45,1.38
altimeters,10,47,3.85,0.02,0.3
altitudes,9,653,6.48,0.22,1.08
ALTON,5,415,6.03,NULL,NULL
altos,5,1125,7.03,0.14,0.9
altruisms,9,2,0.69,NULL,NULL
altruistic,10,574,6.35,0.35,1.28
altruists,9,31,3.43,NULL,NULL
alumna,6,25,3.22,0.02,0.3
alumnus,7,434,6.07,0.47,1.4
ALUNDUM,7,1,0,NULL,NULL
ALUSIK,6,11,2.4,NULL,NULL
ALUSIK'S,8,0,0,NULL,NULL
ALVA,4,149,5,NULL,NULL
ALVAREZ,7,1222,7.11,NULL,NULL
ALVEAR,6,12,2.48,NULL,NULL
alveolars,9,0,0,NULL,NULL
ALVIN,5,1590,7.37,NULL,NULL
ALVISE,6,2,0.69,NULL,NULL
ALWIN,5,55,4.01,NULL,NULL
alyssum,7,12,2.48,NULL,NULL
alyssums,8,0,0,NULL,NULL
AMADEE,6,1,0,NULL,NULL
AMADEE'S,8,0,0,NULL,NULL
AMADO,5,221,5.4,NULL,NULL
amah,4,0,0,0.02,0.3
amahs,5,0,0,NULL,NULL
amalgam,7,623,6.43,0.18,1
amalgamates,11,18,2.89,NULL,NULL
amalgamating,12,9,2.2,NULL,NULL
amalgamations,13,16,2.77,NULL,NULL
amalgams,8,49,3.89,NULL,NULL
amanuenses,10,0,0,NULL,NULL
amanuensis,10,19,2.94,0.04,0.48
AMARAL,6,103,4.63,NULL,NULL
amaryllis,9,63,4.14,0.1,0.78
amaryllises,11,0,0,NULL,NULL
amassed,7,253,5.53,0.39,1.32
amasses,7,6,1.79,0.02,0.3
amateurishly,12,7,1.95,NULL,NULL
amateurism,10,7,1.95,0.02,0.3
amazes,6,886,6.79,0.84,1.64
ambassadorial,13,70,4.25,0.04,0.48
ambassadorship,14,19,2.94,0.06,0.6
ambassadorships,15,2,0.69,NULL,NULL
ambassadress,12,0,0,NULL,NULL
ambassadresses,14,0,0,NULL,NULL
ambergris,9,50,3.91,0.2,1.04
ambidextrously,14,6,1.79,NULL,NULL
ambiguously,11,51,3.93,NULL,NULL
ambit,5,78,4.36,NULL,NULL
ambitiousness,13,8,2.08,NULL,NULL
ambits,6,2,0.69,NULL,NULL
ambivalently,12,9,2.2,NULL,NULL
ambiguousness,13,0,0,NULL,NULL
AMBLER,6,98,4.58,0.12,0.85
ambles,6,16,2.77,NULL,NULL
ambulant,8,7,1.95,NULL,NULL
ambuscaded,10,0,0,NULL,NULL
ambuscades,10,4,1.39,NULL,NULL
ambuscading,11,0,0,NULL,NULL
ambushing,9,46,3.83,0.14,0.9
AmE,3,334,5.81,0.14,0.9
AMEAUX,6,0,0,NULL,NULL
ameliorated,11,54,3.99,0.02,0.3
ameliorates,11,15,2.71,NULL,NULL
ameliorating,12,42,3.74,NULL,NULL
amelioration,12,43,3.76,0.02,0.3
amends,6,502,6.22,1.84,1.98
amenities,9,507,6.23,0.76,1.6
AMENITSKII,10,0,0,NULL,NULL
AMERICANEGRO,12,0,0,NULL,NULL
ammeters,8,5,1.61,NULL,NULL
AMMONIAC,8,2,0.69,0.02,0.3
ammoniate,9,0,0,NULL,NULL
ammoniated,10,1,0,NULL,NULL
Americanism,11,237,5.47,0.1,0.78
Americanisms,12,34,3.53,NULL,NULL
americanized,12,229,5.43,0.06,0.6
americanizes,12,0,0,NULL,NULL
americanizing,13,12,2.48,0.02,0.3
Amerindian,10,56,4.03,NULL,NULL
Amerindians,11,40,3.69,NULL,NULL
AMETHYSTINE,11,1,0,NULL,NULL
amethysts,9,6,1.79,0.04,0.48
Amhara,6,10,2.3,NULL,NULL
Amharic,7,63,4.14,0.02,0.3
amiability,10,10,2.3,0.02,0.3
amiably,7,49,3.89,0.08,0.7
amicability,11,5,1.61,NULL,NULL
AMICAM,6,0,0,NULL,NULL
AMICI,5,245,5.5,NULL,NULL
amidships,9,29,3.37,0.29,1.2
amir,4,835,6.73,1.2,1.79
amirs,5,1,0,NULL,NULL
AMIS,4,446,6.1,0.27,1.18
ammeter,7,43,3.76,0.02,0.3
ammoniates,10,0,0,NULL,NULL
ammoniating,11,0,0,NULL,NULL
ammonite,8,30,3.4,NULL,NULL
ammonites,9,43,3.76,NULL,NULL
amnesties,9,27,3.3,NULL,NULL
amoebae,7,26,3.26,0.02,0.3
amoebas,7,41,3.71,0.1,0.78
amoebic,7,28,3.33,0.06,0.6
AMONASRO,8,0,0,NULL,NULL
amorously,9,9,2.2,NULL,NULL
amorousness,11,0,0,NULL,NULL
amorphousness,13,3,1.1,NULL,NULL
amortizations,13,1,0,NULL,NULL
amortized,9,145,4.98,0.1,0.78
amortizes,9,4,1.39,0.02,0.3
amortizing,10,29,3.37,0.04,0.48
AMOS,4,4044,8.3,1.59,1.91
amours,6,22,3.09,0.12,0.85
amperage,8,139,4.93,0.1,0.78
amperes,7,49,3.89,0.02,0.3
ampersands,10,27,3.3,NULL,NULL
amphibians,10,333,5.81,0.2,1.04
AMPHIBOLOGY,11,0,0,NULL,NULL
amphitheatre,12,133,4.89,0.06,0.6
amphitheatres,13,1,0,NULL,NULL
amphora,7,8,2.08,0.02,0.3
amphorae,8,28,3.33,NULL,NULL
amphoras,8,13,2.56,NULL,NULL
ampler,6,1,0,NULL,NULL
amplest,7,0,0,NULL,NULL
amplifies,9,163,5.09,0.16,0.95
ampoule,7,22,3.09,NULL,NULL
ampoules,8,13,2.56,0.29,1.2
amps,4,3774,8.24,0.96,1.7
amputates,9,1,0,0.04,0.48
amputating,10,32,3.47,0.04,0.48
amputations,11,51,3.93,0.14,0.9
amputees,8,165,5.11,0.06,0.6
AMRA,4,89,4.49,NULL,NULL
AMT,3,708,6.56,0.02,0.3
amuses,6,213,5.36,0.69,1.56
ANA,3,3960,8.28,5.18,2.42
ANABAPTISTS,11,8,2.08,NULL,NULL
ANABEL,6,13,2.56,NULL,NULL
ANABAPTIST,10,7,1.95,0.02,0.3
anachronistic,13,230,5.44,0.06,0.6
anaemia,7,58,4.06,0.12,0.85
anaemic,7,6,1.79,0.18,1
anaemically,11,0,0,NULL,NULL
anaesthesia,11,123,4.81,0.29,1.2
anaesthetics,12,28,3.33,NULL,NULL
anaesthetist,12,15,2.71,0.06,0.6
anaesthetists,13,3,1.1,NULL,NULL
anaesthetized,13,12,2.48,0.02,0.3
anaesthetizes,13,1,0,0.02,0.3
anaesthetizing,14,4,1.39,NULL,NULL
anagrams,8,320,5.77,0.24,1.11
analecta,8,0,0,NULL,NULL
analects,8,69,4.23,NULL,NULL
analgesia,9,69,4.23,0.06,0.6
analgesic,9,114,4.74,0.1,0.78
analgesics,10,116,4.75,0.06,0.6
