TargetWord,Unrelated,LSA,LDT 200ms RT,LDT 200ms Z,LDT 200ms Acc,LDT 1200ms RT,LDT 1200ms Z,LDT 1200ms Acc
abandon,PROVISION,0.25,880.71875,1.31821904094575,0.90625,789.71875,0.453058530206946,1
ability,FUEL,0.03,732.0625,0.255714066437117,0.9375,683.870967741935,0.405421267423385,0.967741935483871
abnormal,EGYPT,-0.02,782.125,0.624919071205673,0.9375,788.193548387097,0.593015837926085,0.870967741935484
above,POSTAGE,0.04,683,-0.102507014315539,1,595.65625,-0.377445602301826,0.96875
abuse,DISGUSTING,0.02,720.09375,0.478593255956336,1,620.41935483871,-0.0841277330007898,1
accept,JOCK,0,642.1875,0.0114498178454517,0.96875,749.181818181818,0.290720939005379,1
account,NOW,0.08,654.875,-0.107621699336611,1,773.5625,0.0614398637440602,0.9375
accuse,SUM,0.11,731.451612903226,0.239447319883496,0.903225806451613,738.6875,0.315514169379754,0.9375
ache,REFLECTION,0.07,682.75,0.385908740821376,0.78125,736.6875,0.0503366017621041,1
achieve,GIRL,0.05,710.483870967742,0.438497420564854,0.935483870967742,823.75,0.24675829499807,0.9375
act,FRISK,0.04,614.25,-0.229625997821278,0.96875,593.96875,-0.356601909793711,0.96875
action,DIP,0.12,617.46875,-0.277271144141796,0.96875,806.225806451613,0.0943658715187314,0.967741935483871
active,DISPERSE,0.1,714.25,0.103542549708316,1,662.806451612903,0.222211063696598,1
actor,COAST,0,585.060606060606,-0.325364962642862,1,658.709677419355,-0.311989376223057,1
actress,FOUR,0.09,716.757575757576,0.211275043397971,0.96969696969697,676.258064516129,0.169854236257812,0.903225806451613
add,PARADISE,0.05,623.34375,-0.342801128254217,0.96875,686.8125,-0.193931124080841,0.96875
addition,INSTRUCTIONS,0.32,668.8125,0.322178531680159,0.96875,806.612903225806,0.209518695311597,0.967741935483871
adjective,EGO,-0.02,877.032258064516,0.614398249867236,0.967741935483871,740.625,0.58638383323436,0.96875
adolescent,ADVENTUROUS,0.11,817.59375,0.6906179391519,0.90625,845.466666666667,0.420452872454518,0.9
adventure,WARY,0.23,751.125,0.17714017762821,0.9375,741.352941176471,-0.0778587824499898,0.970588235294118
advice,NO,0.4,676.40625,0.048862976287022,1,774.375,0.0367373893913613,0.9375
africa,THREAT,0.05,770.65625,0.0882005840954552,1,808.25,0.613838109544625,0.96875
after,CELCIUS,,683.161290322581,-0.134721767030612,0.967741935483871,648.939393939394,-0.171730768693716,0.96969696969697
again,OVERWHELM,0.22,592.1875,-0.236780712518244,0.96875,624.032258064516,-0.0717384838173894,0.967741935483871
against,BLOCK,0.22,740.09375,0.0228896640339692,0.96875,759.970588235294,0.259733242555099,0.970588235294118
