TargetWord,Unrelated,LSA,LDT 200ms RT,LDT 200ms Z,LDT 200ms Acc,LDT 1200ms RT,LDT 1200ms Z,LDT 1200ms Acc
abandon,CURE,0.05,742.903225806452,0.148026796923217,0.870967741935484,731.875,0.450728270937742,0.90625
ability,FISHING,0.03,774.59375,0.109978618292559,0.9375,693.65625,0.471797813842382,0.9375
abnormal,SOCKET,0.11,792.909090909091,0.827086823268698,0.939393939393939,728.40625,0.450836724115858,0.90625
above,MILDEW,0.08,692.59375,-0.0435086929558076,1,648.794117647059,-0.344490819524862,1
abuse,HEROIN,0.82,723.967741935484,0.109329426392247,0.935483870967742,694.59375,-0.198345784670215,0.90625
accept,FAMOUS,0.18,668.625,-0.187002412953208,1,721.9375,-0.0811684039025832,1
account,SCALPEL,0.05,666.242424242424,0.0515215792078726,1,679.65625,-0.0313300208678829,1
accuse,PROTEIN,0.01,811.870967741935,0.414330161008818,0.903225806451613,804.878787878788,0.59764652085317,0.909090909090909
ache,GOO,0.21,699.258064516129,0.391998921829946,0.903225806451613,791.451612903226,0.207352222171058,0.967741935483871
achieve,TASTE,0.05,671.9375,0.0733424459390512,0.96875,643.25,-0.162784393224964,0.96875
act,TON,0.01,629.03125,-0.264475051205382,0.96875,613.15625,-0.242700736409027,0.9375
action,TRADE,0.07,673.030303030303,-0.21364019638745,0.96969696969697,661.935483870968,-0.0738625502395511,0.967741935483871
active,VIRTUE,0.1,752.516129032258,0.047488081190728,1,653.78125,-0.0159562532010711,0.96875
actor,WASTED,0.14,630.3125,-0.165510330641147,0.96875,617.0625,-0.367984845994926,0.9375
actress,FORBIDDEN,-0.01,686.90625,0.0314425630180651,0.9375,653.870967741935,-0.0614039207173067,1
add,LEAF,0.12,643.032258064516,-0.432079877621272,1,602.515151515152,-0.293518993484743,0.96969696969697
addition,VALENTINE,0.04,713.242424242424,0.209317659592602,1,803.58064516129,0.733308308026671,0.967741935483871
adjective,MELT,0,814.84375,0.714792085645426,1,786.121212121212,0.558056560582598,0.909090909090909
adolescent,CALL,0.07,753.484848484849,0.586853000629592,0.939393939393939,917.967741935484,0.810387196301932,0.967741935483871
adventure,INTAKE,0.01,744.606060606061,0.40951558408284,0.96969696969697,690.96875,0.276384452516134,0.9375
advice,TEXT,0.07,699.0625,0.121068647643137,0.96875,736.65625,5.58082764485398E-05,0.9375
africa,STRAIGHT,-0.01,689.774193548387,0.00388347581695324,0.967741935483871,658.903225806452,0.202788975023595,0.935483870967742
after,GAUGE,0.12,646.387096774194,-0.179104455531438,0.967741935483871,640.6875,0.00915135116259054,1
again,COP,0.23,678.03125,-0.00177536051306529,1,699.625,-0.182959775021278,1
against,LATIN,0.11,689.709677419355,0.0593544993486976,0.967741935483871,777.484848484849,0.421671071810361,0.939393939393939
age,PROFESSOR,0.05,644.242424242424,-0.0884406524495845,1,651.6875,-0.17211940263761,1
agreement,FANCY,0.09,661.09375,-0.122026604256577,1,702.28125,0.0286113336361138,1
air,GUEST,0.04,680.787878787879,0.0861984905949115,1,693,0.0705655898093794,0.9375
airplane,BEDROOM,0,705.0625,0.107852275791555,1,752.53125,-0.0664549706104891,0.96875
alcohol,ONCE,0.11,666.1875,0.124941987722181,0.96875,660.064516129032,0.1135947733521,1
alert,DISTINCT,0.08,740.483870967742,0.0759594805551536,0.967741935483871,678.909090909091,-0.00743276564102623,0.96969696969697
