TargetWord,Unrelated,LSA,NT 200ms RT,NT 200ms Z,NT 200ms Acc,NT 1200ms RT,NT 1200ms Z,NT 1200ms Acc
abandon,CURE,0.05,587.848484848485,0.0407067129248334,0.96969696969697,579.95,0.292068553011939,1
ability,FISHING,0.03,670,0.879826992695313,1,533.689655172414,0.124212535241285,1
abnormal,SOCKET,0.11,543.269230769231,0.0054343932168079,1,554.71875,0.185735658946798,1
above,MILDEW,0.08,535.8125,-0.0570610279411181,1,495.515151515152,-0.443805346447809,1
abuse,HEROIN,0.82,618.393939393939,0.566475090327184,0.96969696969697,506.708333333333,-0.0966350521751089,1
accept,FAMOUS,0.18,567.47619047619,-0.138423764731191,0.952380952380952,516.208333333333,0.0467105039212222,1
account,SCALPEL,0.05,537.642857142857,-0.0548349446842168,1,537.888888888889,0.158908005752914,1
accuse,PROTEIN,0.01,603.181818181818,0.189756578697947,0.96969696969697,588.304347826087,0.459190245495956,0.934782608695652
ache,GOO,0.21,570.461538461538,0.145213753635547,1,526.470588235294,0.209791962894519,1
achieve,TASTE,0.05,552.222222222222,-0.0313330748259756,1,581.324324324324,0.187912857994593,1
act,TON,0.01,542.809523809524,-0.130220242623452,1,458,-0.409232247940655,1
action,TRADE,0.07,461.363636363636,-0.672361111105313,1,502,-0.0289960283136122,1
active,VIRTUE,0.1,490.210526315789,-0.247736890533623,0.947368421052632,534.851851851852,0.0122895333107685,0.962962962962963
actor,WASTED,0.14,538.371428571429,-0.410495011528141,0.971428571428571,439.730769230769,-0.470068404520142,0.961538461538462
actress,FORBIDDEN,-0.01,527.37037037037,-0.124383335310868,1,551.25,-0.0297741104769569,1
add,LEAF,0.12,572.153846153846,0.129438369763736,1,503.714285714286,-0.296040271858476,1
addition,VALENTINE,0.04,619.172413793103,0.671850338183964,0.96551724137931,527.695652173913,0.0499821607855394,0.956521739130435
adjective,MELT,0,743.277777777778,1.11813107984533,0.666666666666667,622.037037037037,0.877196521549773,0.814814814814815
adolescent,CALL,0.07,589.171428571429,0.447901952119372,0.914285714285714,568.611111111111,0.192354255489593,1
adventure,INTAKE,0.01,599.823529411765,0.388741017645274,1,527.892857142857,0.153905087539539,1
advice,TEXT,0.07,559.225806451613,-0.0893785529029309,1,569.035714285714,-0.172285145640859,1
africa,STRAIGHT,-0.01,537.473684210526,-0.0148683462449734,1,563.7,0.0997927375642409,1
after,GAUGE,0.12,581.4,0.0615607938008544,1,519.69696969697,-0.302077478596227,1
again,COP,0.23,514.703703703704,-0.352147229773892,0.962962962962963,491.8,-0.300196943977838,0.975
against,LATIN,0.11,485.607142857143,-0.442685799956056,1,552.606060606061,0.277448166779284,0.96969696969697
age,PROFESSOR,0.05,495.135135135135,-0.402998212652415,1,454.24,-0.539032375042587,1
agreement,FANCY,0.09,528.85,-0.196208524761242,1,574.3,0.411901987190957,1
air,GUEST,0.04,494.892857142857,-0.361154860146756,1,463.769230769231,-0.488084294105821,1
airplane,BEDROOM,0,558.382352941176,0.0647998863125901,1,574.423076923077,-0.0116223770497287,1
alcohol,ONCE,0.11,530.129032258065,-0.175893943521465,1,559.846153846154,-0.218607976776448,1
alert,DISTINCT,0.08,525.846153846154,-0.25988349455273,1,477.146341463415,-0.516635794052972,1
alive,WIFE,0.13,565.129032258065,-0.19449848558847,0.967741935483871,465.25,-0.36214297130421,1
all,APE,0.2,524.852941176471,-0.192028925794031,0.970588235294118,540.103448275862,-0.00849077151391153,1
alligator,CONFESS,0.04,562.9,-0.176998046654569,1,543.380952380952,0.0598154746659156,1
allow,CANDY,0.05,495,-0.34308273634352,0.96969696969697,546.80487804878,-0.0886400313971166,1
alone,SUPER,0.13,508.416666666667,-0.30341801951967,1,503.888888888889,-0.153685749426468,1
alright,HINGE,-0.04,543.238095238095,-0.193445744967188,1,558.393939393939,0.230103899359052,1
aluminum,SENTENCE,0.02,805.666666666667,1.52114963444771,0.925925925925926,560.4,0.559483030164354,0.85
always,GREATEST,0.32,494.52380952381,-0.313560935860023,1,521.32,-0.260254547296751,1
am,ALARM,0.2,622.421052631579,0.613114707302976,0.947368421052632,577.761904761905,0.904888789993995,0.761904761904762
ambulance,CAPE,0.02,538.571428571429,0.0849472871145848,0.928571428571429,551.4,0.29890132119276,0.95
america,ICE,0.13,629,0.434545467514498,1,541.884615384615,0.107435519428556,1
american,FLUSH,0.06,560.5,-0.0982548638982494,0.944444444444444,542.322580645161,0.195117741166476,0.967741935483871
amount,DECIDE,0.13,532.307692307692,-0.249166648241916,1,567.242424242424,0.0396011755264623,1
amuse,DISEASE,0.01,602.117647058824,0.454976875066452,1,536,-0.00708648460775649,1
angel,CLIFF,0.07,500.571428571429,-0.328652486688922,1,455,-0.476385015377978,1
anger,EXCHANGE,0.05,573.111111111111,-0.148060464783632,1,513.642857142857,-0.139450613855159,1
angry,TORTURE,0.31,537.235294117647,-0.146822715911221,1,513.619047619048,-0.389944304033984,1
animal,DEPOSIT,0,517.576923076923,-0.295047285622193,1,501.809523809524,-0.334980081223162,1
ankle,TERM,0.02,503.026315789474,-0.109511522273136,1,493.772727272727,-0.378794746439083,1
annoy,HEIGHT,0.04,612.52,-0.0642379002382191,1,530.434782608696,0.0344918150453264,1
annoying,BOXER,0.09,506.064516129032,-0.215212583561632,1,498.5,-0.231431018856078,1
annually,MASS,0.03,620.675675675676,0.570928546919479,1,740.071428571429,0.784170527232434,0.928571428571429
answer,BRING,0.24,527.428571428571,-0.483978198568296,1,626.6875,0.0459899470955247,1
ant,QUOTIENT,0.09,561.88,0.0328788191894712,0.96,543.24,-0.153555329056912,1
anxiety,CEMENT,0.04,640.741935483871,0.808458255466939,0.967741935483871,623.866666666667,0.831682990000485,0.866666666666667
apart,SODA,0.13,537.96,0.0534696255358287,0.98,565.121212121212,0.145608556742818,1
apartment,MIMIC,0.1,617.85,0.531124714459328,1,567.619047619048,0.648107581104219,1
ape,FOE,0.03,544.5,-0.141786505554858,0.95,501.653846153846,-0.151830878279117,1
apology,LOOKS,0.1,542.541666666667,0.0929033439811579,0.916666666666667,533.333333333333,0.0316092341919772,1
appear,BROTHER,0.06,585.04,-0.0128197985052902,1,538.833333333333,0.226524388005335,1
apple,TORN,0.2,507.05,-0.329059746713192,1,449.095238095238,-0.695347063568194,1
april,FORT,0.39,520.771428571429,-0.198008496616616,1,513.037037037037,0.0853290671950891,1
area,DUST,0.13,563.681818181818,-0.180563725789475,0.909090909090909,568.527777777778,0.0396944607331403,1
argue,PALE,0.03,517.518518518518,-0.181781829939675,1,507.533333333333,-0.179492663583098,1
argument,BAND,0.03,529,-0.308016133061465,1,521.583333333333,0.0715961020204244,1
arm,DEMOCRACY,0.03,522.571428571429,-0.451389337459558,1,518.739130434783,0.0350931575651218,0.978260869565217
armor,WEEK,0.11,506.714285714286,-0.371005229533724,0.914285714285714,547.4,-0.0309409521290091,1
arms,DARKNESS,0.32,461.045454545455,-0.329942596783709,1,525.84,-0.20600290166951,0.96
army,BELL,0.05,504.777777777778,-0.212714583042889,1,503.684210526316,-0.437701078558393,1
around,FAUCET,0.13,536.24,0.0709109580947667,1,539.9375,-0.258946410309283,1
arrogant,COOK,0.11,535.46875,0.255480069919355,1,557.1,0.415497295611343,0.95
arrow,PARADE,0.12,573.357142857143,0.00348383894811278,0.892857142857143,529.461538461538,0.145826361392953,0.961538461538462
art,MEDIEVAL,0.32,517.707317073171,-0.308925298889426,0.975609756097561,507.666666666667,-0.469355902208856,1
artist,WEALTH,0.05,535.709677419355,-0.0361918164049038,1,527.303571428571,-0.155642426863816,0.982142857142857
ashtray,STORM,0.02,701.121212121212,0.810800560638952,0.878787878787879,628.2,0.624849375951063,0.95
asia,ENDLESS,0.08,534.263157894737,-0.0189159280003385,1,503.882352941176,0.186835374912635,0.970588235294118
ask,AD,0.19,569.428571428571,-0.107298774376719,1,504.8125,-0.220665007513676,1
asleep,PROCEDURE,-0.04,502.076923076923,-0.216111475799406,1,536.558823529412,0.0384698031076127,1
ass,CROSS,0.1,566.642857142857,-0.0992107605818036,1,566.190476190476,-0.0508954673028885,0.976190476190476
assistant,OBSCURE,0.04,609.823529411765,0.597140758045439,0.970588235294118,556.923076923077,0.404062140399271,1
assume,SWEATER,0.08,604.428571428571,0.38371044177221,1,585.25,0.131489116449875,0.9375
atom,FURRY,0,578.80487804878,0.17538417772179,1,569.176470588235,0.155330431465363,0.970588235294118
attack,LOG,0.07,502.05,-0.114400745987115,1,567.244444444444,0.11283992841454,1
attempt,INTOXICATE,,548.09375,0.253219939377975,1,540.088235294118,-0.0157678660572234,1
attic,SCHEME,0.04,577.730769230769,-0.0342727983689589,0.923076923076923,524.046511627907,0.0433041413548179,0.930232558139535
aunt,WOODS,0.06,545,-0.0848610382047109,1,528.058823529412,0.0927829522669978,1
australia,STARCH,0.01,612.375,1.04981995102114,1,529.428571428571,0.260167842136948,1
