TargetWord,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP_NT_RT,ELP_NT_Z,ELP_NT_Acc,TargetFanIn
abandon,7,8.1,2.62,8.232,0,,12222,2037,VB|NN,623.963,-0.516,1,5
ability,7,19.22,2.99,10.949,1,0,8681,1446.833,NN,580.393,-0.718,1,18
abnormal,8,2.9,2.17,7.698,0,,9895,1413.571,JJ,673.385,-0.312,1,10
above,5,48.88,3.4,12.089,1,0,4212,1053,minor|JJ|NN,561.393,-0.717,1,15
abuse,5,10.25,2.72,10.163,2,0,5023,1255.75,VB,581.2,-0.691,1,12
accept,6,52.78,3.43,10.808,1,0,4357,871.4,VB,628.077,-0.422,1,17
account,7,44.71,3.36,11.018,0,,10710,1785,NN|VB,605.893,-0.569,0.966,7
accuse,6,5.69,2.46,8.242,0,,5844,1168.8,VB,635.115,-0.446,0.963,7
ache,4,2.49,2.11,6.741,3,2,4730,1576.667,VB|NN,663.5,-0.422,1,15
achieve,7,7.33,2.57,9.65,0,,7701,1283.5,VB,651.17,-0.3,1,13
act,3,109.12,3.75,11.19,5,0,2603,1301.5,NN|VB,626.69,-0.43,1,28
action,6,61.08,3.49,11.26,0,,14494,2898.8,NN,575.89,-0.73,1,31
active,6,11.45,2.77,10.48,0,,10154,2030.8,JJ,558.29,-0.78,0.96,10
actor,5,26.33,3.13,9.26,0,,6723,1680.75,NN,555.71,-0.74,1,25
actress,7,16.02,2.91,8.52,0,,14893,2482.17,NN,611.85,-0.56,0.96,3
add,3,33.06,3.23,11.64,6,1,1257,628.5,VB,579.57,-0.66,1,28
addition,8,7.75,2.6,10.76,1,0,17202,2457.43,NN,718.68,-0.24,1,6
adjective,9,0.49,1.42,6.95,0,,11226,1403.25,NN,749.14,0.25,0.75,5
adolescent,10,1.84,1.98,7.33,0,,20185,2242.78,NN|JJ,689.15,-0.19,1,9
adventure,9,13.43,2.84,9.46,0,,16492,2061.5,NN,629.75,-0.47,1,10
advice,6,47.98,3.39,10.7,1,0,5813,1162.6,NN,547.04,-0.75,1,10
africa,6,18.76,2.98,9.75,0,,7579,1515.8,NN,555,-0.67,1,15
after,5,682.59,4.54,12.93,2,0,10949,2737.25,minor,568.04,-0.74,1,13
again,5,792.71,4.61,12.43,0,,9212,2303,RB,606.42,-0.64,1,19
against,7,201.73,4.01,12.06,0,,14633,2438.83,minor,664.27,-0.31,1,25
age,3,79.2,3.61,11.11,10,2,1995,997.5,NN|VB,591.43,-0.58,1,21
agreement,9,17.49,2.95,10.07,0,,16530,2066.25,NN,620.46,-0.46,1,9
air,3,139.02,3.85,11.3,5,0,1728,864,NN|VB,587.54,-0.76,1,78
airplane,8,10.92,2.75,8.46,0,,10550,1507.14,NN,562.19,-0.77,1,23
alcohol,7,16.57,2.93,9.56,0,,8157,1359.5,NN,585.64,-0.57,1,44
alert,5,20.61,3.02,9.1,1,0,13645,3411.25,JJ|NN|VB,541.27,-0.87,0.96,12
alive,5,154.47,3.9,9.9,3,0,8586,2146.5,JJ,566.73,-0.77,1,21
all,3,5161.86,5.42,14.35,5,0,4681,2340.5,minor|RB,577.56,-0.72,1,18
alligator,9,3.49,2.25,6.58,0,,17162,2145.25,NN,653.37,-0.43,1,4
allow,5,44.37,3.35,11.25,3,0,6836,1709,VB|NN,587.41,-0.58,0.96,19
alone,5,308.53,4.2,10.84,3,2,11414,2853.5,RB|JJ,558.07,-0.75,1,42
alright,7,79.29,3.61,8.71,0,,7592,1265.33,RB,623.22,-0.52,0.96,2
aluminum,8,2.25,2.06,8.76,0,,13443,1920.43,NN|JJ,707.8,-0.27,1,7
always,6,655.25,4.52,12.21,0,,4411,882.2,RB,530.7,-0.86,1,23
am,2,1106.63,4.75,13.21,7,3,945,945,VB,658.44,-0.27,0.96,4
ambulance,9,22.41,3.06,7.24,0,,11460,1432.5,NN,664.44,-0.35,0.96,4
america,7,77.92,3.6,11.27,0,,15817,2636.17,NN,573.37,-0.58,0.96,22
american,8,102.22,3.72,11.69,1,0,19300,2757.14,JJ|NN,577.31,-0.62,1,20
amount,6,24.75,3.1,11.03,0,,8458,1691.6,NN|VB,610.3,-0.6,1,32
amuse,5,2.61,2.13,6.47,1,1,4800,1200,VB,653.33,-0.43,0.96,2
angel,5,78.27,3.6,9.81,1,0,10347,2586.75,NN,593.08,-0.63,1,13
