,TargetWord,Prime,Relation1,LSA,FAS,BAS,LDT_200ms_RT,LDT_1200ms_RT,LDT_200ms_Z,LDT_1200ms_Z,Related,Assoc
0,abandon,DISOWN,synonym,0.08,0.053,,834.46875,758.34375,0.877487496195,0.197948171577,REL,ASSOC
1,ability,CAPABILITY,synonym,0.22,0.282,0.119,711.21875,643.848484848,0.180364231807,-0.102459082602,REL,ASSOC
2,abnormal,NORMAL,antonym,0.7,0.34,0.281,708.290322581,744.75,0.476727365121,0.490616175341,REL,ASSOC
3,above,BELOW,antonym,0.79,0.503,0.564,696.741935484,610.03125,0.264470064091,-0.458474666924,REL,ASSOC
4,abuse,USE,fpa,0.2,0.192,0.015,690.935483871,637.0,-0.017903837146,-0.153709151913,REL,ASSOC
5,accept,REJECT,antonym,0.6,0.169,0.107,654.322580645,588.212121212,-0.22956349135,-0.361933784788,REL,ASSOC
6,account,CHECKING,fpa,0.42,0.44,0.035,640.40625,692.580645161,-0.0632530325305,-0.290119332109,REL,ASSOC
7,accuse,BLAME,synonym,0.22,0.185,0.159,695.967741935,699.34375,0.0261921398876,0.192053967754,REL,ASSOC
8,ache,STOMACH,fpa,0.19,0.284,0.0,627.25,839.9375,0.155524558242,0.310188973251,REL,ASSOC
9,achieve,GOAL,script,0.65,0.174,0.22,621.818181818,784.6875,-0.205432477807,0.356544546928,REL,ASSOC
10,act,PERFORM,synonym,0.2,0.291,0.02,613.53125,701.28125,-0.282844140614,-0.288126296065,REL,ASSOC
11,action,REACTION,unclassified,0.14,0.103,0.094,662.875,612.709677419,-0.0467934593295,-0.303165770407,REL,ASSOC
12,active,HYPER,synonym,-0.02,0.295,0.02,730.03125,662.6875,0.0534893989763,-0.452924526675,REL,ASSOC
13,actor,ACTRESS,category,0.59,0.507,0.578,640.65625,679.181818182,-0.119594822331,-0.28066825449,REL,ASSOC
14,actress,ACTOR,category,0.59,0.578,0.507,666.1875,658.548387097,-0.0460542017215,0.135308583714,REL,ASSOC
15,add,SUM,synonym,0.25,0.284,0.017,618.15625,681.058823529,-0.437182962928,-0.310194954182,REL,ASSOC
16,addition,SUBTRACTION,antonym,0.26,0.507,0.621,725.3125,675.870967742,0.367957748396,0.241689545295,REL,ASSOC
17,adjective,ADVERB,category,0.94,0.274,0.152,714.3125,737.548387097,0.098910162077,0.282462535158,REL,ASSOC
18,adolescent,PUBERTY,script,0.56,0.138,0.041,671.5,861.322580645,0.398484822099,0.816279706128,REL,ASSOC
19,adventure,EXPLORER,unclassified,0.37,0.196,0.0,620.5,727.9375,-0.227352857017,0.0605098039182,REL,ASSOC
20,advice,SUGGEST,synonym,0.32,0.072,0.0,599.878787879,700.35483871,-0.191207276009,-0.0797813820487,REL,ASSOC
21,africa,CONTINENT,supraordinate,0.63,0.169,0.234,741.580645161,656.65625,0.168270845898,0.0219559676677,REL,ASSOC
22,after,BEFORE,antonym,0.81,0.859,0.571,619.575757576,754.625,-0.154514864112,-0.216983106725,REL,ASSOC
23,again,REPEAT,synonym,0.33,0.289,0.336,671.625,637.40625,-0.275997675287,-0.297463062607,REL,ASSOC
24,against,FOR,antonym,0.49,0.27,0.312,730.6875,766.875,0.110585273083,0.262954382136,REL,ASSOC
25,age,YEARS,category,0.53,0.19,0.0,619.46875,636.6875,-0.311814931993,-0.0772522793756,REL,ASSOC
26,agreement,CONTRACT,synonym,0.7,0.212,0.151,682.935483871,631.03125,-0.112274915001,-0.0316775393832,REL,ASSOC
27,air,FAN,instrument,0.31,0.236,0.0,658.25,616.46875,-0.0843679304483,-0.224364724447,REL,ASSOC
28,airplane,FLYING,functional property,0.78,0.434,0.0,694.9375,644.838709677,0.169447109153,0.071886556317,REL,ASSOC
29,alcohol,DRUNK,unclassified,0.81,0.126,0.11,613.0,715.28125,-0.313796068124,-0.160209394645,REL,ASSOC
30,alert,AWARENESS,synonym,0.24,0.223,0.0,601.40625,634.580645161,-0.307361515365,-0.11629685554,REL,ASSOC
31,alive,DEAD,antonym,0.52,0.398,0.554,617.5625,565.709677419,-0.453528639287,-0.333529873344,REL,ASSOC
32,all,MOST,unclassified,0.69,0.295,0.02,645.46875,585.032258065,-0.167158943288,-0.184984759243,REL,ASSOC
33,alligator,CROCODILE,category,0.48,0.629,0.46,617.806451613,834.484848485,-0.0223374295653,0.768598207482,REL,ASSOC
34,allow,DISALLOW,antonym,,0.089,0.011,774.6875,756.588235294,0.0489956476243,0.0371187612741,REL,ASSOC
35,alone,LONELY,synonym,0.6,0.219,0.215,629.35483871,574.59375,-0.368157277043,-0.344706497191,REL,ASSOC
36,alright,OKAY,synonym,0.07,0.262,,616.5625,756.875,-0.157123490839,0.297358661834,REL,ASSOC
37,aluminum,FOIL,bpa,0.55,0.314,0.164,716.258064516,868.032258065,0.596380746993,0.750450129659,REL,ASSOC
38,always,FOREVER,synonym,0.48,0.27,0.378,625.375,658.242424242,-0.275235659582,-0.28452379295,REL,ASSOC
39,am,BE,unclassifed,0.3,0.099,,741.5625,886.625,0.130261632645,0.309719268258,REL,ASSOC
40,ambulance,EMERGENCY,script,0.76,0.13,0.174,727.0625,756.125,0.629538148495,0.377826421854,REL,ASSOC
41,america,USA,synonym,0.2,0.223,0.185,663.4375,618.580645161,-0.14193291588,0.0716856810073,REL,ASSOC
42,american,FLAG,bpa,0.3,0.269,0.2,802.5625,829.34375,0.390582256249,0.500224347412,REL,ASSOC
43,amount,QUANTITY,synonym,0.36,0.379,0.067,623.96875,661.838709677,-0.247084195704,-0.218771096168,REL,ASSOC
44,amuse,ENTERTAIN,synonym,0.52,0.275,0.15,701.787878788,696.967741935,0.299766600888,0.162569402439,REL,ASSOC
45,angel,SAINT,unclassified,0.28,0.091,0.041,560.3125,676.733333333,-0.384733419843,-0.336514508595,REL,ASSOC
46,anger,FURY,synonym,0.34,0.306,0.0,582.242424242,679.40625,-0.281035181577,0.0344505287418,REL,ASSOC
47,angry,MAD,synonym,0.34,0.393,0.52,649.161290323,584.65625,-0.22634130144,-0.491436433168,REL,ASSOC
48,animal,BEAST,unclassifed,0.35,0.4,0.011,699.53125,723.09375,0.171975617542,0.0264438449952,REL,ASSOC
49,ankle,SPRAIN,fpa,0.62,0.601,0.049,592.064516129,615.125,-0.0938048544184,-0.397196680559,REL,ASSOC
50,annoy,FRUSTRATE,category,0.08,0.149,0.0,787.483870968,685.8125,0.464234991684,0.0700400257382,REL,ASSOC
51,annoying,IRRITATING,synonym,0.16,0.257,0.086,768.96875,592.032258065,0.0120833646892,-0.257281554623,REL,ASSOC
52,annually,YEARLY,synonym,0.38,0.485,,704.967741935,796.75,0.500761100778,0.22967063866,REL,ASSOC
53,answer,EXPLANATION,synonym,0.21,0.15,0.0,656.709677419,636.46875,-0.124342163916,-0.134463269638,REL,ASSOC
54,ant,ANTEATER,functional property,0.14,0.29,0.017,705.78125,652.424242424,0.0582779540488,-0.180865727117,REL,ASSOC
55,anxiety,STRESS,synonym,0.57,0.079,0.077,771.03125,804.1875,0.136218348,0.418585179097,REL,ASSOC
56,apart,TOGETHER,antonym,0.57,0.259,0.406,721.71875,715.28125,0.12779051281,0.166522794432,REL,ASSOC
57,apartment,RENT,script,0.34,0.155,0.042,677.612903226,709.870967742,0.228122930681,-0.201871947303,REL,ASSOC
58,ape,MONKEY,category,0.39,0.174,0.459,669.967741935,662.6875,0.0457906633215,0.101128636135,REL,ASSOC
59,apology,SORRY,synonym,0.29,0.212,0.578,691.424242424,758.290322581,0.209694263487,0.605283837697,REL,ASSOC
60,appear,SEEM,synonym,0.58,0.244,0.083,614.125,720.454545455,-0.0303470009365,0.251047949078,REL,ASSOC
