,w1,w2,SimRating,w2v_uk1,w2v_big,w2v_ukfull,gloveWG100,gloveTW100
0,car,automobile,3.92,0.684034883976,0.700258553028,0.662577867508,0.683194185555,0.467585208639
1,gem,jewel,3.84,0.568411529064,0.562968850136,0.577276289463,0.64154499011,0.581374046644
2,journey,voyage,3.84,0.604415118694,0.609908342361,0.555000305176,0.768299421264,0.521089641347
3,boy,lad,3.76,0.792784452438,0.865064501762,0.813110351562,0.39526765119,0.557645322316
4,coast,shore,3.7,0.738344550133,0.813876092434,0.792530119419,0.700027178543,0.498318621793
5,asylum,madhouse,3.61,0.00294180470519,0.0417449958622,0.00972249824554,-0.104345019439,0.3140069935
6,magician,wizard,3.5,0.391337752342,0.619208157063,0.483534276485,0.661820485404,0.597198073285
7,midday,noon,3.42,0.811385691166,0.810993909836,0.805050253868,0.785331242415,0.612690670168
8,furnace,stove,3.11,0.584619820118,0.597103178501,0.627881705761,0.632639363319,0.589632480197
9,food,fruit,3.08,0.601066946983,0.712903797626,0.606917858124,0.573560323493,0.611000488404
10,bird,cock,3.05,0.433329582214,0.526202201843,0.486175239086,0.275310164099,0.368122607918
11,bird,crane,2.97,0.288078516722,0.353306025267,0.359646826982,0.337193394551,0.375185455667
12,tool,implement,2.95,0.413584083319,0.350360929966,0.3866545856,0.38970053421,0.459318860629
13,brother,monk,2.82,0.335050106049,0.373015135527,0.392079740763,0.427257844108,0.288791825631
14,lad,brother,1.66,0.468466579914,0.601728975773,0.552757978439,0.229925005166,0.554910955351
15,crane,implement,1.68,-0.0446443259716,0.0451303459704,0.0243614744395,0.0247216906869,0.134250093203
16,journey,car,1.16,0.34368532896,0.364917546511,0.38224324584,0.34866183927,0.416400955597
17,monk,oracle,1.1,0.0878586545587,0.411124527454,0.130974158645,0.0598760069789,0.261545069667
18,cemetery,woodland,0.95,0.313321530819,0.446657717228,0.332351595163,0.475344279064,0.542869942297
19,food,rooster,0.89,0.00311726774089,0.0868687778711,0.0676538199186,-0.00661580038905,0.158254549103
20,coast,hill,0.87,0.390223532915,0.611966669559,0.392307430506,0.382473810843,0.536218963613
21,forest,graveyard,0.84,0.413562148809,0.497877955437,0.459190428257,0.236178870697,0.343993770221
22,shore,woodland,0.63,0.358970165253,0.426228225231,0.335405915976,0.22715842769,0.279130624082
23,monk,slave,0.55,0.340681374073,0.513424634933,0.379166543484,0.220864577572,0.411464784159
24,coast,forest,0.42,0.455418258905,0.491584450006,0.427563965321,0.410929988285,0.542148653933
25,lad,wizard,0.42,0.0989010259509,0.380586504936,0.205978125334,0.338027849053,0.228214341504
26,chord,smile,0.13,0.376305937767,0.399217218161,0.378658205271,0.203810970708,0.188967720778
27,glass,magician,0.11,0.23085680604,0.243862912059,0.292515158653,0.0922050917706,0.167509650865
28,rooster,voyage,0.08,-0.0217759218067,-0.051168743521,-0.00628488929942,0.0604874123179,0.0882265040555
29,noon,string,0.08,0.00151160312817,-0.0378916561604,-0.104491889477,0.0375756911225,0.147427182112
