,w1,w2,SimRating,w2v_uk1,w2v_big,w2v_ukfull,gloveWG100,gloveTW100
0,sun,sunlight,50.0,0.47659304738,0.767136216164,0.476069033146,0.53819565699,0.631588090506
1,automobile,car,50.0,0.684034883976,0.700258553028,0.662577867508,0.683194185555,0.467585208639
2,river,water,49.0,0.408329874277,0.470391184092,0.426485866308,0.630601100865,0.460964808742
3,stairs,staircase,49.0,0.7651668787,0.757352232933,0.75037676096,0.783232157279,0.536085681117
4,morning,sunrise,49.0,0.423080205917,0.520705282688,0.503481924534,0.486941509977,0.54621050366
5,rain,storm,49.0,0.683577358723,0.714210093021,0.708808004856,0.695789321905,0.767676801603
6,cat,kittens,49.0,0.593898952007,0.643698871136,0.656408190727,0.475943314507,0.607135462429
7,dance,dancers,49.0,0.735911667347,0.715898931026,0.741102218628,0.727509170918,0.615200299636
8,camera,photography,49.0,0.44413381815,0.515480518341,0.481625467539,0.58865339486,0.518023643868
9,cat,feline,48.0,0.541197359562,0.634011626244,0.617310285568,0.486344826048,0.465923118861
10,sunny,sunshine,48.0,0.742096781731,0.776109814644,0.746282756329,0.661712457182,0.630111144301
11,pregnancy,pregnant,48.0,0.630255460739,0.600238204002,0.607451915741,0.706869906242,0.713109205439
12,beach,sand,48.0,0.589758753777,0.60029566288,0.583144724369,0.546936757104,0.614574962749
13,bakery,bread,48.0,0.525751292706,0.586418330669,0.573088169098,0.616738264079,0.618798551991
14,flowers,garden,48.0,0.493840843439,0.454701900482,0.495194166899,0.575627456137,0.652773892853
15,grass,lawn,48.0,0.686776399612,0.702249228954,0.694442093372,0.654865499245,0.711023000039
16,copper,metal,48.0,0.797241806984,0.86935031414,0.819711983204,0.632351996565,0.495828086148
17,photos,photography,47.0,0.517799377441,0.544149935246,0.594005167484,0.488696980906,0.610282620712
18,cemetery,graveyard,47.0,0.683575332165,0.748220801353,0.640591144562,0.663896933084,0.560576794832
19,gravestone,graveyard,47.0,0.569793224335,0.576027810574,0.554199814796,0.486186855659,0.289697360689
20,sun,sunshine,47.0,0.556409060955,0.788808703423,0.560976445675,0.551347490179,0.688603364424
21,black,dark,47.0,0.650663733482,0.737623691559,0.659795343876,0.734337722405,0.756466376339
22,cathedral,church,47.0,0.808203876019,0.821027636528,0.808192610741,0.767593078574,0.601765705485
23,frozen,ice,47.0,0.566062271595,0.696333229542,0.540472507477,0.565529964737,0.728171461311
24,station,subway,47.0,0.664060473442,0.716984987259,0.615321874619,0.627000996131,0.58020696507
25,children,kids,46.0,0.650082886219,0.673381567001,0.626247525215,0.756242508837,0.841548089597
26,aquarium,fish,46.0,0.511367797852,0.651440918446,0.506792187691,0.561294267282,0.54166161955
27,light,lighting,46.0,0.514573633671,0.620767831802,0.559385538101,0.574495520272,0.657330741237
28,fungi,mushrooms,46.0,0.462890088558,0.480727642775,0.427644729614,0.446754112638,0.449141566739
29,frost,snow,46.0,0.586232602596,0.792729020119,0.583653450012,0.607680428699,0.629746408023
30,burn,flame,46.0,0.428795427084,0.569259822369,0.437083810568,0.473194028912,0.613595080881
31,ocean,sea,46.0,0.734534859657,0.791613578796,0.759478449821,0.838655979848,0.441118113909
32,candy,chocolate,46.0,0.627666175365,0.593136191368,0.636481285095,0.769908502832,0.736946229971
33,car,vehicle,46.0,0.716359436512,0.767157614231,0.731066763401,0.863083811144,0.676655357637
34,concert,music,46.0,0.622708141804,0.616542994976,0.620766103268,0.746793781345,0.645714843008
35,photos,picture,46.0,0.575065672398,0.546046793461,0.589455008507,0.606247585399,0.711487178306
36,grapes,wine,46.0,0.716236174107,0.754774987698,0.717598855495,0.61705417111,0.473125832431
37,bath,bathroom,46.0,0.65572655201,0.850914239883,0.676741838455,0.54943715939,0.708091350977
38,buds,flowers,46.0,0.726735174656,0.789127588272,0.789566338062,0.589855822798,0.427061988205
39,cat,kitty,46.0,0.538953900337,0.57460719347,0.583990335464,0.452649034719,0.801509121228
40,ocean,water,46.0,0.482488036156,0.64541721344,0.489637553692,0.632483443767,0.634334788706
41,aircraft,airplane,46.0,0.592139720917,0.711500287056,0.673947691917,0.786148441863,0.614750001386
42,butterfly,caterpillars,46.0,0.57400649786,0.694592773914,0.614139199257,0.357130447787,0.347627757431
43,hair,wig,46.0,0.667513251305,0.727263450623,0.70648342371,0.66490935595,0.699760694907
44,blossom,buds,46.0,0.663371324539,0.765792071819,0.701690793037,0.578921464287,0.301859960693
45,highway,road,46.0,0.585211157799,0.794892907143,0.642844676971,0.809223721346,0.753796704773
46,bunny,rabbit,46.0,0.652812182903,0.776919126511,0.703015804291,0.739995274934,0.758945585903
47,bread,sandwich,46.0,0.602668941021,0.705925047398,0.623898267746,0.683938862341,0.73352259995
48,mist,misty,46.0,0.777485013008,0.835482597351,0.793914139271,0.523390243646,0.328963187707
49,flowers,petals,46.0,0.775755465031,0.838199973106,0.777139484882,0.705138815398,0.656276876187
50,airplane,flight,46.0,0.447186172009,0.572001218796,0.645676732063,0.73395011424,0.610916449414
51,fish,fishing,46.0,0.595910251141,0.609391510487,0.576687753201,0.663888834582,0.644764152472
52,ice,snow,46.0,0.611532390118,0.754501760006,0.67492556572,0.66079123313,0.699184403978
53,bright,sun,45.0,0.366016060114,0.589127004147,0.427880585194,0.557036547637,0.688234329946
54,shade,tree,45.0,0.581408500671,0.589408218861,0.516305804253,0.565067750878,0.566757600409
55,bicycle,bike,45.0,0.830856859684,0.851772844791,0.841093659401,0.896848654066,0.760588766154
56,truck,vehicle,45.0,0.700358510017,0.780668854713,0.697537660599,0.787919712399,0.708045239149
57,shore,water,45.0,0.386652320623,0.403106272221,0.361051350832,0.510122050331,0.354470210046
58,boat,fishing,45.0,0.672689378262,0.636086344719,0.668829619884,0.722810193298,0.7367223145
59,dog,puppy,45.0,0.845890164375,0.874006569386,0.863537311554,0.723637621689,0.82993073483
60,bride,wedding,45.0,0.618614315987,0.617449820042,0.586692988873,0.752725729422,0.731048197698
61,birds,hummingbird,45.0,0.611947238445,0.767677485943,0.552832603455,0.300965835648,0.286247015706
62,sea,water,45.0,0.559360802174,0.588117182255,0.578641712666,0.656685281639,0.338714244746
63,cow,milk,45.0,0.519587397575,0.701412022114,0.610145390034,0.601994405968,0.587666046399
64,birds,feathers,45.0,0.476987093687,0.531604528427,0.449814498425,0.56931940065,0.492384944714
65,skate,skating,45.0,0.612808465958,0.583259999752,0.534810841084,0.758276229024,0.682299615388
66,chapel,church,45.0,0.83530330658,0.846666097641,0.833545327187,0.792397682604,0.642167414397
67,branch,twigs,45.0,0.0973611399531,0.155765041709,0.104172244668,0.15331474147,0.215947322817
68,concert,musicians,45.0,0.544073760509,0.530282258987,0.530118882656,0.636196194167,0.321056048071
69,clothes,dress,45.0,0.6706340909,0.68388903141,0.694832980633,0.721534063148,0.714042060936
70,automobile,vehicle,45.0,0.535747110844,0.603243291378,0.564093828201,0.659392161,0.571618427253
71,splash,swimming,45.0,0.396460443735,0.375582665205,0.426595807076,0.355506411698,0.468684426769
72,bed,furniture,45.0,0.37321165204,0.437218129635,0.383775830269,0.432138800918,0.435573236326
73,aircraft,flight,45.0,0.584027528763,0.606710612774,0.614533662796,0.700452953816,0.619773300553
74,reptiles,snake,45.0,0.49469974637,0.544290840626,0.493011474609,0.436405448174,0.364725184202
75,motorcycle,scooter,45.0,0.714755356312,0.817606091499,0.77489477396,0.559549477721,0.499650331371
76,coffee,tea,45.0,0.926286756992,0.94606512785,0.939722776413,0.773269013952,0.827587656577
77,feathers,goose,45.0,0.548005282879,0.681945860386,0.54458039999,0.426849975656,0.510641622655
78,pool,swimming,45.0,0.814148068428,0.823999226093,0.858285069466,0.697511179421,0.79558988974
79,eyes,face,45.0,0.640719234943,0.67264944315,0.649978935719,0.686369978311,0.679820263821
80,dirt,dirty,45.0,0.52768021822,0.685880839825,0.562785089016,0.510919190095,0.644371971366
81,railway,train,45.0,0.666288018227,0.68853610754,0.655743181705,0.670400291756,0.360446840912
82,harbour,port,45.0,0.508347809315,0.496224015951,0.600369274616,0.635649699093,0.518901652238
83,fruit,strawberry,45.0,0.769409000874,0.87796574831,0.813509464264,0.507471370312,0.698994389853
84,flight,plane,45.0,0.593729197979,0.630824863911,0.615122020245,0.821562737329,0.820423966646
85,smoke,smoking,45.0,0.472417771816,0.599913477898,0.548338770866,0.651510420474,0.838003051686
