,w1,w2,SimRating,w2v_uk1,w2v_big,w2v_ukfull,gloveWG100,gloveTW100
0,gem,jewel,3.94,0.568411529064,0.562968850136,0.577276289463,0.64154499011,0.581374046644
1,midday,noon,3.94,0.811385691166,0.810993909836,0.805050253868,0.785331242415,0.612690670168
2,automobile,car,3.92,0.684034883976,0.700258553028,0.662577867508,0.683194185555,0.467585208639
3,cemetery,graveyard,3.88,0.683575332165,0.748220801353,0.640591144562,0.663896933084,0.560576794832
4,cushion,pillow,3.84,0.754774391651,0.782466769218,0.778565883636,0.311908378154,0.65728614123
5,boy,lad,3.82,0.792784452438,0.865064501762,0.813110351562,0.39526765119,0.557645322316
6,cock,rooster,3.68,0.463642984629,0.413693785667,0.467277437449,0.590352857414,0.337301086439
7,implement,tool,3.66,0.413584083319,0.350360929966,0.3866545856,0.38970053421,0.459318860629
8,forest,woodland,3.65,0.804774105549,0.849888324738,0.835231244564,0.726099527559,0.629891818277
9,coast,shore,3.6,0.738344550133,0.813876092434,0.792530119419,0.700027178543,0.498318621793
10,autograph,signature,3.59,0.327586621046,0.439052850008,0.379163622856,0.293746686102,0.60839515371
11,journey,voyage,3.58,0.604415118694,0.609908342361,0.555000305176,0.768299421264,0.521089641347
12,serf,slave,3.46,0.163313105702,0.665684580803,0.355986356735,0.476044658658,0.206378265747
13,grin,smile,3.46,0.830783486366,0.915361464024,0.842245578766,0.865587795191,0.526369420094
14,glass,tumbler,3.45,0.645970642567,0.771066963673,0.659293234348,0.201045994518,0.461544665339
15,cord,string,3.41,0.136981710792,0.186054632068,0.187896430492,0.267795052787,0.513194322458
16,hill,mound,3.29,0.577489674091,0.679130017757,0.579587757587,0.486764219897,0.39401003325
17,magician,wizard,3.21,0.391337752342,0.619208157063,0.483534276485,0.661820485404,0.597198073285
18,furnace,stove,3.11,0.584619820118,0.597103178501,0.627881705761,0.632639363319,0.589632480197
19,asylum,madhouse,3.04,0.00294180470519,0.0417449958622,0.00972249824554,-0.104345019439,0.3140069935
20,brother,monk,2.74,0.335050106049,0.373015135527,0.392079740763,0.427257844108,0.288791825631
21,food,fruit,2.69,0.601066946983,0.712903797626,0.606917858124,0.573560323493,0.611000488404
22,bird,cock,2.63,0.433329582214,0.526202201843,0.486175239086,0.275310164099,0.368122607918
23,bird,crane,2.63,0.288078516722,0.353306025267,0.359646826982,0.337193394551,0.375185455667
24,oracle,sage,2.61,0.364705115557,0.380489736795,0.426521360874,0.166990740334,0.382243443536
25,sage,wizard,2.46,0.144910678267,0.259352833033,0.206555873156,0.282924900164,0.215179753714
26,brother,lad,2.41,0.468466579914,0.601728975773,0.552757978439,0.229925005166,0.554910955351
27,crane,implement,2.37,-0.0446443259716,0.0451303459704,0.0243614744395,0.0247216906869,0.134250093203
28,magician,oracle,1.82,0.168915823102,0.37847083807,0.230684280396,-0.0143751172995,0.214778010668
29,glass,jewel,1.78,0.441918075085,0.459903806448,0.398065239191,0.337057916482,0.398166610921
30,cemetery,mound,1.69,0.616776108742,0.646897375584,0.579840838909,0.439929296925,0.336720842352
31,car,journey,1.55,0.34368532896,0.364917546511,0.38224324584,0.34866183927,0.416400955597
32,hill,woodland,1.48,0.415487647057,0.576029479504,0.44009655714,0.447928673328,0.48042750636
33,crane,rooster,1.41,0.368939220905,0.205621272326,0.286544501781,0.193639763849,0.210077202416
34,furnace,implement,1.37,-0.0875720009208,-0.0567659474909,-0.0797957405448,0.0257479043229,0.120848375962
35,coast,hill,1.26,0.390223532915,0.611966669559,0.392307430506,0.382473810843,0.536218963613
36,bird,woodland,1.24,0.53748613596,0.561420440674,0.4580989182,0.353544756319,0.252711353766
37,shore,voyage,1.22,0.41525131464,0.390351384878,0.385862857103,0.363221944312,0.114126353201
38,cemetery,woodland,1.18,0.313321530819,0.446657717228,0.332351595163,0.475344279064,0.542869942297
39,food,rooster,1.09,0.00311726774089,0.0868687778711,0.0676538199186,-0.00661580038905,0.158254549103
40,forest,graveyard,1.0,0.413562148809,0.497877955437,0.459190428257,0.236178870697,0.343993770221
41,lad,wizard,0.99,0.0989010259509,0.380586504936,0.205978125334,0.338027849053,0.228214341504
42,mound,shore,0.97,0.398465722799,0.475711494684,0.416034460068,0.242176611053,0.173805536065
43,automobile,cushion,0.97,0.137674286962,0.134895905852,0.107115343213,0.146982926422,0.146802920832
44,boy,sage,0.96,-0.0256526377052,0.178850799799,-0.0240800231695,0.181602872734,0.179090471407
45,monk,oracle,0.91,0.0878586545587,0.411124527454,0.130974158645,0.0598760069789,0.261545069667
46,shore,woodland,0.9,0.358970165253,0.426228225231,0.335405915976,0.22715842769,0.279130624082
47,grin,lad,0.88,0.505209922791,0.614393532276,0.578985095024,0.291657287995,0.389924519221
48,coast,forest,0.85,0.455418258905,0.491584450006,0.427563965321,0.410929988285,0.542148653933
49,asylum,cemetery,0.79,0.0308066885918,0.0734963938594,-0.114014334977,0.0977942777806,0.424099709228
50,monk,slave,0.57,0.340681374073,0.513424634933,0.379166543484,0.220864577572,0.411464784159
51,cushion,jewel,0.45,0.41291898489,0.413969308138,0.41084831953,0.0481215719636,0.354655319751
52,boy,rooster,0.44,0.419084638357,0.343101799488,0.518624722958,0.259764630024,0.166569143561
53,glass,magician,0.44,0.23085680604,0.243862912059,0.292515158653,0.0922050917706,0.167509650865
54,graveyard,madhouse,0.44,0.454769074917,0.493483155966,0.509845554829,0.172651471956,0.369028618419
55,asylum,monk,0.39,0.00365986698307,0.0376150347292,0.00936390273273,0.155327075864,0.295520167158
56,asylum,fruit,0.19,-0.0423146560788,-0.0059831882827,-0.022111767903,-0.00346028652464,-0.0487470938187
57,grin,implement,0.18,-0.0817124694586,-0.0960707962513,-0.0597617886961,-0.0238636071989,0.0260333548838
58,mound,stove,0.14,0.273935675621,0.327148199081,0.259573608637,0.25444313955,0.339911369244
59,automobile,wizard,0.11,0.112127557397,0.166528373957,0.0590940117836,-0.0170091612377,0.136898953684
60,autograph,shore,0.06,0.0106822783127,-0.0780317112803,-0.0886785760522,-0.0835410348901,-0.00551155054821
61,fruit,furnace,0.05,0.176279202104,0.242664217949,0.122336246073,0.141709444029,0.124169212615
62,noon,string,0.04,0.00151160312817,-0.0378916561604,-0.104491889477,0.0375756911225,0.147427182112
63,rooster,voyage,0.04,-0.0217759218067,-0.051168743521,-0.00628488929942,0.0604874123179,0.0882265040555
64,chord,smile,0.02,0.376305937767,0.399217218161,0.378658205271,0.203810970708,0.188967720778
