,w1,w2,SimRating,w2v_uk1,w2v_big,w2v_ukfull,gloveWG100,gloveTW100
0,old,new,1.58,0.251249074936,0.210605487227,0.222922474146,0.643248816877,0.759303914765
1,smart,intelligent,9.2,0.477420598269,0.5543846488,0.471330225468,0.755273272283,0.598179414242
2,hard,difficult,8.77,0.492165029049,0.624758005142,0.566976308823,0.785254641971,0.658315771504
3,happy,cheerful,9.55,0.527548491955,0.561082661152,0.564483106136,0.545993697712,0.366054436622
4,hard,easy,0.95,0.500512301922,0.603313565254,0.531519293785,0.766767753234,0.767103330983
5,fast,rapid,8.75,0.359607636929,0.432842075825,0.400847524405,0.582326324183,0.47933792068
6,happy,glad,9.17,0.669600427151,0.714267790318,0.685521483421,0.783336060881,0.632902720416
7,short,long,1.23,0.688459694386,0.689775586128,0.722693920135,0.821937894634,0.821039867119
8,stupid,dumb,9.58,0.788096368313,0.784973740578,0.811872243881,0.836065004106,0.93796569891
9,weird,strange,8.93,0.828535914421,0.858388781548,0.843557655811,0.824735692379,0.835932379519
10,wide,narrow,1.03,0.404693633318,0.436989247799,0.369893074036,0.634932163152,0.500261337285
11,bad,awful,8.42,0.382734209299,0.512117266655,0.339094638824,0.705917240848,0.733492964232
12,easy,difficult,0.58,0.644195854664,0.696081936359,0.660561263561,0.764634569956,0.734102495866
13,bad,terrible,7.78,0.541748046875,0.596831381321,0.529858589172,0.707213342037,0.722741850342
14,hard,simple,1.38,0.291247576475,0.317229568958,0.328190982342,0.615463966045,0.490289475561
15,smart,dumb,0.55,0.408152848482,0.509897351265,0.323624521494,0.61205398852,0.682722225075
16,insane,crazy,9.57,0.598086237907,0.697169244289,0.637318849564,0.591737153653,0.808861580975
17,happy,mad,0.95,0.48645195365,0.452281713486,0.464210212231,0.446250594954,0.54830272266
18,large,huge,9.47,0.720280587673,0.749271512032,0.732959806919,0.808727419832,0.717318209095
19,hard,tough,8.05,0.511839568615,0.601566910744,0.487377375364,0.787650939029,0.734916290721
20,new,fresh,6.83,0.228044107556,0.239363640547,0.243052572012,0.523689548703,0.659238413138
21,sharp,dull,0.6,0.546334028244,0.618572354317,0.481644392014,0.425618176907,0.567351416015
22,quick,rapid,9.7,0.339273512363,0.338342100382,0.315919339657,0.561224725612,0.482074700404
23,dumb,foolish,6.67,0.668513894081,0.703723609447,0.664529502392,0.69634595296,0.674954852226
24,wonderful,terrific,8.63,0.7594653368,0.777918934822,0.754674196243,0.829002505879,0.713981114723
25,strange,odd,9.02,0.60446202755,0.643290936947,0.574558734894,0.815648605458,0.85245646863
26,happy,angry,1.28,0.511878371239,0.578408360481,0.54764008522,0.539766466628,0.46307013306
27,narrow,broad,1.18,0.601851701736,0.547316908836,0.527524292469,0.685658805809,0.62300065722
28,simple,easy,9.4,0.608332872391,0.574360847473,0.605584979057,0.764938585144,0.706899238542
29,old,fresh,0.87,0.0674446821213,0.0938288494945,0.0653433725238,0.398100193922,0.582196447017
30,apparent,obvious,8.47,0.738811433315,0.774829745293,0.760444223881,0.73728998854,0.443574515099
31,inexpensive,cheap,8.72,0.601761162281,0.610344409943,0.605918705463,0.823653286469,0.563585730745
32,nice,generous,5.0,0.319070935249,0.41200709343,0.359955579042,0.474580334136,0.405373291244
33,weird,normal,0.72,0.0974325686693,0.139182880521,0.0823680609465,0.315821459298,0.526839284453
34,weird,odd,9.2,0.649428486824,0.685932815075,0.644336402416,0.755023637547,0.806420233819
35,bad,immoral,7.62,0.316787272692,0.338246792555,0.253228873014,0.309016780884,0.168687141194
36,sad,funny,0.95,0.767181754112,0.781999528408,0.753650128841,0.631890284331,0.709703731977
37,wonderful,great,8.05,0.728836297989,0.808452427387,0.738283038139,0.69927257692,0.864603771977
38,guilty,ashamed,6.38,0.574756145477,0.518574953079,0.559456825256,0.329661144061,0.594485176025
39,beautiful,wonderful,6.5,0.73851031065,0.723478138447,0.747375905514,0.808050957181,0.838624045072
40,confident,sure,8.27,0.484019517899,0.473694175482,0.466651469469,0.691609384107,0.506406191424
41,dumb,dense,7.27,0.190922260284,0.209817618132,0.172826245427,0.0797056611098,0.150370846684
42,large,big,9.55,0.360191106796,0.507046580315,0.410474449396,0.708205669205,0.616029611077
43,nice,cruel,0.67,0.33561745286,0.350894749165,0.345211982727,0.286293468339,0.316567599632
44,impatient,anxious,6.03,0.762481749058,0.815567851067,0.798856675625,0.731628527972,0.71847859072
45,big,broad,6.73,0.141001716256,0.246404245496,0.159247338772,0.480188082266,0.407322558473
46,strong,proud,3.17,0.249578982592,0.342328369617,0.309022754431,0.465658101743,0.695308960597
47,unnecessary,necessary,0.63,0.436141043901,0.494123369455,0.467908322811,0.563451575461,0.595972164101
48,restless,young,1.6,0.311215102673,0.351490318775,0.303417414427,0.475661854494,0.315672894119
49,dumb,intelligent,0.75,0.419679135084,0.468884497881,0.400041878223,0.500182524901,0.438285035721
50,bad,great,0.35,0.430694371462,0.473879873753,0.465785086155,0.583183406557,0.708896998235
51,difficult,simple,0.87,0.465654522181,0.492819488049,0.509885787964,0.631504517214,0.523591242349
52,necessary,important,7.37,0.404461979866,0.506786525249,0.456252276897,0.694415393771,0.733507037364
53,bad,terrific,0.65,0.393512874842,0.475757658482,0.396624714136,0.480447877054,0.342856030743
54,mad,glad,1.45,0.413638353348,0.46133852005,0.389801621437,0.286121885052,0.67708993901
55,honest,guilty,1.18,0.356865495443,0.325225532055,0.382992178202,0.349403643281,0.520122110227
56,easy,tough,0.52,0.387076348066,0.411004245281,0.35066473484,0.671342161474,0.733233209987
57,easy,flexible,4.1,0.475364655256,0.397723764181,0.431732177734,0.463001030406,0.447838038413
58,certain,sure,8.42,0.155695736408,0.0779203101993,0.102244958282,0.679781043792,0.626309678147
59,essential,necessary,8.97,0.627458155155,0.673572421074,0.649702250957,0.785107537592,0.660676739284
60,different,normal,1.08,0.314471393824,0.348002016544,0.312099248171,0.589804152926,0.470572545097
61,sly,clever,7.25,0.549160122871,0.689576148987,0.553713679314,0.613844272417,0.598098115552
62,crucial,important,8.82,0.68366676569,0.705641508102,0.733683645725,0.779383237337,0.639341680147
63,harsh,cruel,8.18,0.653870940208,0.680015563965,0.660672485828,0.643047090554,0.491841466299
64,childish,foolish,5.5,0.691971123219,0.735152006149,0.68633055687,0.633561510766,0.651595089921
65,scarce,rare,9.17,0.525544166565,0.543979346752,0.555470168591,0.379118754311,0.260783730368
66,friendly,generous,5.9,0.381643980742,0.473419904709,0.442604839802,0.462142090998,0.464779337004
67,fragile,frigid,2.38,0.529922306538,0.445621669292,0.450101464987,0.284470335845,0.298738773257
68,long,narrow,3.57,0.442235648632,0.416324049234,0.420682609081,0.662886965489,0.327045869545
69,big,heavy,6.18,0.291915744543,0.447050690651,0.270308792591,0.549980125967,0.541707697512
70,rough,frigid,2.47,0.401330262423,0.479481220245,0.427129805088,0.407785880883,0.328434137583
71,bizarre,strange,9.37,0.819574713707,0.867502391338,0.843979001045,0.814458167012,0.619028755331
72,illegal,immoral,4.28,0.67257475853,0.717640340328,0.679128587246,0.50375913051,0.587122241439
73,bad,guilty,4.2,0.235036402941,0.261718660593,0.158533900976,0.35323791897,0.513194099002
74,modern,ancient,0.73,0.498646765947,0.522299945354,0.55280983448,0.703730974876,0.585662806319
75,new,ancient,0.23,0.0565167367458,0.0534177199006,0.127192541957,0.405760986635,0.391483792041
76,dull,funny,0.55,0.695007622242,0.712609708309,0.720799028873,0.565616599629,0.454426045507
77,happy,young,2.0,0.307875722647,0.25466811657,0.246602207422,0.569546750564,0.577515663714
78,easy,big,1.12,0.140753701329,0.180901601911,0.14371240139,0.62828547309,0.624654534896
79,great,awful,1.17,0.242415785789,0.344099283218,0.281943291426,0.511555960186,0.674305153439
80,tiny,huge,0.6,0.61599957943,0.607628583908,0.598536252975,0.612902369743,0.714852374672
81,polite,proper,7.63,0.214687302709,0.316333711147,0.270886570215,0.299953330504,0.500603949931
82,modest,ashamed,2.65,0.0581511706114,0.0753435119987,0.0413367822766,-0.00127781144404,0.274951661491
83,exotic,rare,8.05,0.511283934116,0.52748554945,0.502603530884,0.56099237077,0.393868760952
84,dumb,clever,1.17,0.64645409584,0.661127269268,0.651138722897,0.614639045422,0.631736302646
85,delightful,wonderful,8.65,0.728542983532,0.75688958168,0.730989813805,0.739350341572,0.69022815472
86,noticeable,obvious,8.48,0.63337957859,0.674717307091,0.632347941399,0.612327276463,0.399127682661
87,afraid,anxious,5.07,0.561299800873,0.642816603184,0.572266995907,0.686620942253,0.509544504118
88,formal,proper,8.02,0.539630770683,0.60720038414,0.546310245991,0.620645388586,0.438713730994
89,dreary,dull,8.25,0.794472038746,0.824408531189,0.828436911106,0.643596973679,0.605717233265
90,delightful,cheerful,6.58,0.412389278412,0.446439951658,0.476213425398,0.561861037826,0.498789543181
91,unhappy,mad,5.95,0.312449961901,0.364986479282,0.357705503702,0.319131932881,0.462460230009
92,sad,terrible,5.4,0.726845860481,0.69397187233,0.710820615292,0.66710749288,0.612285501368
93,sick,crazy,3.57,0.336879700422,0.355073809624,0.334178388119,0.517079518486,0.777285127704
94,violent,angry,6.98,0.454460501671,0.559188008308,0.514675140381,0.611407825385,0.528023636454
95,laden,heavy,5.9,0.346765965223,0.664293110371,0.247528329492,0.35119260353,0.182086654791
96,dirty,cheap,1.6,0.216031312943,0.271716684103,0.167110994458,0.512789882522,0.578138930002
97,elastic,flexible,7.78,0.309942990541,0.407490253448,0.358993440866,0.460763916408,0.458031518583
98,hard,dense,5.9,0.177393808961,0.240224927664,0.179156512022,0.319642985743,0.13786914081
99,recent,new,7.05,0.328463613987,0.238684013486,0.232843339443,0.660682251906,0.667512318642
100,bold,proud,3.97,0.0439444705844,0.0429358109832,0.00210057781078,0.441010531718,0.340163688647
101,sly,strange,1.97,0.58236259222,0.711456596851,0.535461306572,0.403050838223,0.486922733849
102,strange,sly,2.07,0.58236259222,0.711456596851,0.535461306572,0.403050838223,0.486922733849
103,dumb,rare,0.48,0.204784795642,0.205633938313,0.210762798786,0.114299267063,0.356090823035
104,sly,tough,0.58,0.344432920218,0.473940014839,0.394588172436,0.23141733469,0.402731359399
105,terrific,mad,0.4,0.387576699257,0.381165713072,0.35725453496,0.236982099866,0.263348843381
106,modest,flexible,0.98,0.345171183348,0.380872219801,0.334961980581,0.402416313064,0.266289576833
107,fresh,wide,0.4,0.238033697009,0.233153000474,0.218818947673,0.432057653767,0.373063799282
108,huge,dumb,0.48,0.168645471334,0.21456515789,0.134014368057,0.187694710839,0.52367638732
109,large,flexible,0.48,0.180285409093,0.230701878667,0.196502909064,0.357278145927,0.406329099999
110,dirty,narrow,0.3,0.269636452198,0.354612618685,0.247184365988,0.238352187649,0.344764356129
111,wife,husband,2.3,0.890450119972,0.8961135149,0.910537719727,0.921969293306,0.943294589496
112,book,text,6.35,0.456225037575,0.472242504358,0.458887726068,0.615472054211,0.494172645427
113,groom,bride,3.17,0.735771417618,0.779214441776,0.732681870461,0.791912514015,0.795686915875
114,night,day,1.88,0.78417468071,0.809011399746,0.77930867672,0.826170976078,0.850806626651
115,south,north,2.2,0.972056090832,0.985850036144,0.971764266491,0.921571788325,0.928679988369
116,plane,airport,3.65,0.364071875811,0.439104497433,0.383495718241,0.628367211451,0.558674946835
117,uncle,aunt,5.5,0.869945406914,0.896013259888,0.879033386707,0.75874729168,0.760568368828
118,horse,mare,8.33,0.328255683184,0.654062926769,0.472713768482,0.399199004755,0.245411719074
119,bottom,top,0.7,0.60597640276,0.623134255409,0.60271948576,0.591179143712,0.587995705545
120,friend,buddy,8.78,0.558102965355,0.587111771107,0.500233888626,0.588303277076,0.734595190764
121,student,pupil,9.35,0.519845187664,0.684232532978,0.612041652203,0.486801613601,0.414986363609
122,world,globe,6.67,0.602015376091,0.728849172592,0.616206169128,0.439083432621,0.470124813722
123,leg,arm,2.88,0.746987819672,0.754292070866,0.765401601791,0.614022406156,0.772221682585
124,plane,jet,8.1,0.687604963779,0.725358426571,0.643752396107,0.819589209399,0.763679551153
125,woman,man,3.33,0.860245287418,0.886959910393,0.880744338036,0.832349420482,0.670395224956
126,horse,colt,7.07,0.528808057308,0.633315205574,0.639771938324,0.583163373244,0.338127165351
127,actress,actor,7.12,0.894714832306,0.904684484005,0.903684914112,0.858066636437,0.75325087992
128,teacher,instructor,9.25,0.62219363451,0.667745888233,0.630615711212,0.707712085242,0.646937529247
129,movie,film,8.87,0.776391148567,0.892207384109,0.799846887589,0.905512148786,0.713457157647
130,bird,hawk,7.85,0.694162607193,0.763698458672,0.654211938381,0.362516202759,0.505502626002
131,word,dictionary,3.68,0.447514623404,0.626952946186,0.469501405954,0.551025466834,0.621701641918
132,money,salary,7.88,0.266278982162,0.34095415473,0.248727738857,0.485479173512,0.454347865399
133,dog,cat,1.75,0.798232555389,0.881907522678,0.817547917366,0.879807504129,0.87520896318
134,area,region,9.47,0.603068590164,0.657970190048,0.600966393948,0.745877571679,0.616641484572
135,navy,army,6.43,0.717240989208,0.591738641262,0.726277291775,0.670873006814,0.760137538374
136,book,literature,7.53,0.418569624424,0.473355919123,0.43861630559,0.644080296016,0.683364588602
137,clothes,closet,3.27,0.329615801573,0.463631331921,0.458008378744,0.546276016281,0.661552464783
138,sunset,sunrise,2.47,0.795273780823,0.892289876938,0.82867616415,0.803128220729,0.867813942415
139,child,adult,2.98,0.564207077026,0.528802573681,0.562371373177,0.687992359494,0.61083165525
140,cow,cattle,9.52,0.633008718491,0.613279044628,0.63306248188,0.719290897468,0.443423854357
141,book,story,5.63,0.563942074776,0.684451043606,0.641957938671,0.794139042689,0.7710014201
142,winter,summer,2.38,0.834287881851,0.885156869888,0.859029591084,0.889695017445,0.828626896376
143,taxi,cab,9.2,0.627979755402,0.686925888062,0.651716709137,0.755679635783,0.77906697371
144,tree,maple,5.53,0.569882631302,0.604501485825,0.616321325302,0.489495602073,0.484974074768
145,bed,bedroom,3.4,0.651856660843,0.7341979146,0.708023011684,0.691537487411,0.64158553077
146,roof,ceiling,7.58,0.850629746914,0.871280729771,0.874209284782,0.689203783761,0.729718337889
147,disease,infection,7.15,0.885351121426,0.906176626682,0.869434833527,0.822370143744,0.720483926037
148,arm,shoulder,4.85,0.822229087353,0.822890520096,0.78740477562,0.697208986143,0.723912234282
149,sheep,lamb,8.42,0.561114788055,0.571371376514,0.566646873951,0.42755248942,0.538344988648
150,lady,gentleman,3.42,0.708975315094,0.879873931408,0.74789839983,0.500405241168,0.57698289919
151,boat,anchor,2.25,0.456466674805,0.484532862902,0.487449169159,0.327148796576,0.502532300461
152,priest,monk,6.28,0.673911571503,0.811130404472,0.714838862419,0.653025849816,0.608840512547
153,toe,finger,4.68,0.725771009922,0.73143196106,0.698020994663,0.565884998613,0.622553004507
154,river,stream,7.3,0.468529969454,0.547787606716,0.506366729736,0.671142897415,0.396745284255
155,anger,fury,8.73,0.685846984386,0.76217520237,0.675998806953,0.69736526886,0.504052993364
156,date,calendar,4.42,0.245357468724,0.43276014924,0.226093217731,0.59905221896,0.524504380674
157,sea,ocean,8.27,0.734534859657,0.791613578796,0.759478449821,0.838655979848,0.441118113909
158,second,minute,4.62,0.276059448719,0.413716763258,0.289005041122,0.667237430485,0.778622545692
159,hand,thumb,3.88,0.529910862446,0.487170279026,0.524598181248,0.55056824864,0.635536453489
160,wood,log,7.3,0.0616978108883,0.128982722759,0.0738283321261,0.44123750486,0.389530666908
161,mud,dirt,7.32,0.677415251732,0.753944456577,0.705743193626,0.717605682289,0.667088382546
162,hallway,corridor,9.28,0.576319515705,0.68141746521,0.59175747633,0.361723779065,0.551363846863
163,way,manner,7.62,0.528643786907,0.568487524986,0.526423454285,0.632104038066,0.39804382509
164,mouse,cat,1.12,0.317714571953,0.292880326509,0.359762191772,0.691525087112,0.659597222857
165,cop,sheriff,9.05,0.26802739501,0.363275527954,0.295511424541,0.462331382281,0.504508423292
166,death,burial,4.93,0.259701192379,0.358636766672,0.306922733784,0.406735985187,0.458746088619
167,music,melody,6.98,0.61637288332,0.654917061329,0.634616971016,0.591585242861,0.503243507254
168,beer,alcohol,7.5,0.334620267153,0.498073995113,0.382909029722,0.53830828013,0.560255698107
169,mouth,lip,7.1,0.478730708361,0.536822736263,0.545294582844,0.52963084878,0.662750914397
170,storm,hurricane,6.38,0.680783331394,0.817081511021,0.763342380524,0.883757337293,0.845831070366
171,tax,income,2.38,0.775682091713,0.825885236263,0.761083304882,0.78248406076,0.672553000941
172,flower,violet,6.95,0.518793940544,0.693379402161,0.526348173618,0.410579537393,0.587253077846
173,paper,cardboard,5.38,0.458221077919,0.511026978493,0.513487637043,0.592056761092,0.373064284304
174,floor,ceiling,1.73,0.728474617004,0.768005609512,0.735316574574,0.643127607214,0.650280741328
175,beach,seashore,8.33,0.657624781132,0.751338362694,0.678406298161,0.383684947822,0.160561859283
176,rod,curtain,3.03,0.438275963068,0.535077393055,0.431646406651,0.311724510268,0.488718984102
177,hound,fox,2.38,0.622451066971,0.737078368664,0.529500722885,0.252751353796,0.313024924348
178,street,alley,5.48,0.45931443572,0.5872849226,0.452046751976,0.526816395153,0.568880454814
179,boat,deck,4.28,0.551740586758,0.615099728107,0.59324324131,0.529333132006,0.400689661801
180,car,horn,2.57,0.133957996964,0.190438613296,0.106937400997,0.296272281223,0.454710466757
181,friend,guest,4.25,0.362589120865,0.350544720888,0.310610592365,0.531110682539,0.518685302951
182,employer,employee,3.65,0.864358305931,0.885441601276,0.87120115757,0.764385193714,0.725308402033
183,hand,wrist,3.97,0.596206903458,0.631979703903,0.605838000774,0.518882752724,0.610389157545
184,ball,cannon,2.58,0.456295520067,0.501798212528,0.438971489668,0.393439422744,0.48056578625
185,alcohol,brandy,6.98,0.325137913227,0.424189895391,0.301216572523,0.345210219284,0.291307823972
186,victory,triumph,8.98,0.68973749876,0.803006947041,0.69975823164,0.843505229708,0.628517299992
187,telephone,booth,3.63,0.225862160325,0.357570707798,0.212001562119,0.462964855493,0.394343753444
188,door,doorway,5.4,0.677934169769,0.711499273777,0.672505378723,0.58985149447,0.386208053316
189,motel,inn,8.17,0.589385092258,0.598440468311,0.700457155704,0.714904960581,0.431947287454
190,clothes,cloth,5.47,0.621164500713,0.656176924706,0.65498238802,0.636403449267,0.547414656379
191,steak,meat,7.47,0.704339444637,0.744224071503,0.719539701939,0.59525676397,0.729698357016
192,nail,thumb,3.55,0.505631327629,0.593370676041,0.498472005129,0.363413552935,0.530732272061
193,band,orchestra,7.08,0.734600484371,0.765291571617,0.694126009941,0.572843406721,0.539859633974
194,book,bible,5.0,0.494699567556,0.551367521286,0.528334021568,0.652386905129,0.675709592385
195,business,industry,7.02,0.517349183559,0.603923201561,0.536057174206,0.824826076195,0.781958742184
196,winter,season,6.27,0.592858910561,0.613803327084,0.633417487144,0.628505185867,0.621617283309
197,decade,century,3.48,0.374050974846,0.432721018791,0.37157034874,0.620541268674,0.518379810307
198,alcohol,gin,8.65,0.278007775545,0.400326043367,0.303111493587,0.294007864085,0.390221455581
199,hat,coat,2.67,0.710088729858,0.811441361904,0.705328345299,0.611079588628,0.522960828462
